Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad
0,0.3515948120929778,0.33959357441014637,0.20220551851682034,1,0,0.5,0.6388888888888888,2,0,0.5,0,0.0,0.5,3,3,1
0,0.3515948120929778,0.13983264828653086,0.13749975259143782,1,0,1.0,0.6388888888888888,2,1,1.0,1,1.0,0.0,2,3,1
1,0.45205047269097165,0.6991632414326534,0.30735238814556687,1,0,0.5,0.6388888888888888,2,0,0.5,0,0.6666666666666666,0.5,1,3,1
1,0.6529617938869591,0.6991632414326534,0.388234595552295,0,0,1.0,0.6388888888888888,2,0,0.5,0,0.6666666666666666,0.0,1,4,5
1,0.40182264239197474,0.6592110562079307,0.4108816136261789,0,0,0.5,0.0,2,0,0.5,0,0.0,0.0,2,3,6
1,0.7534174544849527,0.33959357441014637,0.11323509036941937,0,1,0.5,0.6388888888888888,2,0,0.5,0,0.0,0.0,2,0,1
0,0.45205047269097165,0.09988046306180776,0.12941153185076504,1,1,1.0,0.6388888888888888,2,0,0.5,0,0.3333333333333333,0.0,2,2,1
1,0.40182264239197474,0.37954575963486903,0.11323509036941937,0,0,0.5,0.6388888888888888,2,0,0.5,0,1.0,0.0,2,3,1
1,0.5022783029899683,0.6592110562079307,0.20220551851682034,1,1,1.0,0.6388888888888888,2,0,0.5,0,0.3333333333333333,0.5,1,3,1
1,0.40182264239197474,0.5393545005337614,0.23455840147951157,1,1,0.5,0.6388888888888888,2,0,0.5,0,0.3333333333333333,0.5,3,3,1
1,0.6027339635879622,0.7990437044944612,0.5338225688844057,1,1,1.0,0.6388888888888888,1,0,1.0,0,0.6666666666666666,1.0,2,3,2
0,0.3515948120929778,0.5393545005337614,0.3316170503675854,1,1,0.5,0.6388888888888888,1,0,0.5,1,0.6666666666666666,0.5,2,3,6
1,0.40182264239197474,0.3995218522472306,0.13749975259143782,0,0,1.0,0.6388888888888888,2,0,1.0,0,0.6666666666666666,0.0,2,3,1
1,1.0,0.6991632414326534,0.4852932444403688,0,1,0.5,0.6388888888888888,2,0,0.5,0,0.6666666666666666,0.5,1,0,2
1,0.45205047269097165,0.6392349635955692,0.1698526355541291,1,1,1.0,0.0,2,0,0.0,0,0.3333333333333333,0.5,2,3,1
0,0.40182264239197474,0.49940231530903834,0.218381959998166,1,0,1.0,0.6388888888888888,0,0,0.5,1,0.6666666666666666,0.5,2,3,1
1,0.6529617938869591,0.9588524453933531,0.5095579066623872,1,1,0.5,0.0,2,0,0.0,0,0.3333333333333333,0.0,2,3,6
0,0.7534174544849527,0.1598087408988924,0.3154406088862397,0,1,0.5,0.0,2,0,0.5,0,0.0,0.0,3,0,2
0,0.8036452847839496,0.5193784079213999,0.34779349184893094,1,1,1.0,1.0,1,1,0.0,0,0.0,0.0,3,0,6
0,0.45205047269097165,0.3995218522472306,0.25073484296085724,1,0,0.5,0.0,2,0,0.5,0,0.0,0.0,2,3,5
1,0.40182264239197474,0.3995218522472306,0.3316170503675854,1,0,0.5,0.6388888888888888,2,0,0.5,0,1.0,1.0,3,4,6
0,1.0,0.4794262226966768,0.388234595552295,1,1,1.0,0.0,2,1,0.5,0,0.0,0.0,3,0,2
0,0.40182264239197474,0.3995218522472306,0.1698526355541291,1,1,1.0,0.6388888888888888,2,0,0.5,0,0.3333333333333333,0.0,2,0,1
0,0.40182264239197474,0.29964138918542327,0.34779349184893094,1,1,0.0,0.0,2,0,0.5,0,0.0,1.0,2,3,2
1,0.3515948120929778,0.7990437044944612,0.23455840147951157,1,1,0.5,0.6388888888888888,2,0,0.5,0,0.0,0.5,2,3,1
1,0.30136698179398114,0.29964138918542327,0.08897042814740097,1,0,0.5,1.0,1,1,0.5,0,1.0,1.0,3,3,1
1,0.3515948120929778,0.49940231530903834,0.21029373925749317,1,1,0.5,0.0,1,0,0.5,0,0.3333333333333333,1.0,0,4,1
0,0.45205047269097165,0.29964138918542327,0.10514686962874659,0,1,0.5,1.0,1,0,0.5,0,0.6666666666666666,0.5,2,0,1
1,0.2511391514949842,0.5992827783708461,0.29926416740489414,1,1,1.0,0.6388888888888888,2,0,0.5,1,1.0,0.5,2,3,1
1,0.45205047269097165,0.45945013008431523,0.25073484296085724,0,1,0.5,0.6388888888888888,2,0,0.5,0,0.6666666666666666,1.0,1,4,1
1,0.7534174544849527,0.6392349635955692,0.35588171258960377,0,1,0.0,1.0,1,0,1.0,0,0.0,0.5,3,2,5
0,0.8538731150829463,0.25968920396070017,0.23455840147951157,1,0,0.5,0.0,2,0,0.0,0,0.3333333333333333,0.0,2,3,6
0,0.5022783029899683,0.6392349635955692,0.29926416740489414,0,0,0.5,0.6388888888888888,2,0,1.0,0,0.3333333333333333,0.5,2,4,1
1,1.0,0.6791871488202923,0.4124992577743135,0,0,0.5,0.0,2,0,0.5,0,0.0,0.0,2,3,6
1,0.40182264239197474,0.3995218522472306,0.18602907703547467,0,1,0.5,1.0,1,0,0.5,0,0.6666666666666666,0.0,2,3,1
0,0.3515948120929778,0.09988046306180776,0.21029373925749317,1,0,0.5,0.6388888888888888,2,0,0.5,0,0.6666666666666666,1.0,2,3,6
0,0.40182264239197474,0.21973701873597706,0.08088220740672813,0,1,0.5,0.6388888888888888,2,0,0.0,1,0.6666666666666666,0.0,3,4,1
0,0.3515948120929778,0.29964138918542327,0.0727939866660553,0,1,0.5,0.6388888888888888,2,0,0.0,0,0.3333333333333333,0.0,2,3,1
1,0.45205047269097165,0.3995218522472306,0.22647018073883873,1,1,0.5,0.6388888888888888,2,0,0.5,0,0.3333333333333333,0.5,2,3,1
0,0.3515948120929778,0.5992827783708461,0.39632281629296784,1,1,0.5,0.6388888888888888,2,0,1.0,0,1.0,0.0,2,3,6
0,0.3515948120929778,0.4394740374719537,0.2911759466642213,1,1,0.5,0.6388888888888888,2,0,0.5,0,0.3333333333333333,0.0,2,3,5
1,0.45205047269097165,0.45945013008431523,0.1698526355541291,0,0,0.5,1.0,1,0,0.5,0,0.0,0.0,3,4,1
0,0.3515948120929778,0.41949794485959213,0.20220551851682034,1,1,0.0,0.6388888888888888,2,0,0.0,0,0.0,0.0,3,3,1
1,0.3515948120929778,0.41949794485959213,0.18602907703547467,1,1,0.5,0.6388888888888888,2,1,0.5,0,0.3333333333333333,0.5,1,3,1
1,0.3515948120929778,0.719139334045015,0.3316170503675854,0,0,0.0,0.6388888888888888,3,0,0.5,0,0.6666666666666666,0.0,3,3,1
0,0.3515948120929778,0.1598087408988924,0.21029373925749317,1,0,0.5,0.6388888888888888,2,0,0.0,0,0.0,0.5,3,3,6
1,0.3515948120929778,0.7391154266573765,0.2669112844422028,1,1,0.0,0.6388888888888888,1,0,1.0,0,0.6666666666666666,0.0,2,3,1
1,0.3515948120929778,0.5992827783708461,0.2669112844422028,1,1,0.0,0.6388888888888888,1,0,1.0,0,0.6666666666666666,0.0,2,3,1
0,0.30136698179398114,0.41949794485959213,0.1698526355541291,1,0,1.0,0.6388888888888888,2,0,0.5,0,0.3333333333333333,0.0,2,4,1
0,0.3515948120929778,0.1997609261236155,0.08897042814740097,0,1,0.5,0.6388888888888888,2,0,0.5,0,0.0,0.0,2,3,1
0,0.3515948120929778,0.3196174817977848,0.12536742148042862,1,1,1.0,0.6388888888888888,2,0,1.0,0,0.0,0.5,2,4,1
0,0.30136698179398114,0.09988046306180776,0.04044110370336407,0,1,0.5,0.6388888888888888,2,0,0.0,0,0.0,0.0,2,0,1
0,0.45205047269097165,0.37954575963486903,0.10514686962874659,0,1,1.0,0.0,2,0,0.5,0,0.6666666666666666,1.0,3,3,1
0,0.45205047269097165,0.3595696670225075,0.12941153185076504,1,0,1.0,0.6388888888888888,3,0,0.5,1,0.6666666666666666,0.5,3,3,1
0,0.40182264239197474,0.29964138918542327,0.12941153185076504,0,0,1.0,1.0,0,0,1.0,0,0.6666666666666666,0.0,3,3,1
1,0.45205047269097165,0.45945013008431523,0.18602907703547467,0,0,0.5,1.0,1,0,0.5,0,0.0,0.0,2,0,1
1,0.40182264239197474,0.49940231530903834,0.25073484296085724,1,1,0.5,0.6388888888888888,2,0,0.0,0,0.0,0.5,2,0,1
1,0.3515948120929778,0.37954575963486903,0.21029373925749317,1,0,0.5,0.6388888888888888,2,0,0.0,0,0.0,0.5,3,3,1
0,0.1506834908969905,0.3995218522472306,0.22647018073883873,1,1,1.0,0.0,2,0,0.5,0,0.3333333333333333,0.5,3,4,1
1,0.30136698179398114,0.6192588709832076,0.12941153185076504,1,1,0.5,1.0,2,0,1.0,0,0.6666666666666666,1.0,3,3,0
0,0.3515948120929778,0.1997609261236155,0.08088220740672813,1,1,0.5,0.6388888888888888,2,0,1.0,0,1.0,0.5,2,3,1
1,0.30136698179398114,0.3995218522472306,0.15367619407278343,0,1,0.5,0.6388888888888888,2,0,0.5,0,1.0,0.5,2,3,1
1,0.40182264239197474,0.4394740374719537,0.18602907703547467,0,1,0.5,0.0,3,0,0.5,0,0.0,0.0,2,3,1
1,0.40182264239197474,0.45945013008431523,0.12941153185076504,1,1,0.5,0.6388888888888888,2,0,0.5,0,0.0,1.0,2,0,1
0,0.3515948120929778,0.41949794485959213,0.14558797333211065,1,1,0.5,0.6388888888888888,1,0,0.0,0,0.3333333333333333,0.5,3,3,1
0,0.3515948120929778,0.33959357441014637,0.2426466222201844,1,1,0.0,0.6388888888888888,1,0,0.5,0,0.0,0.5,3,3,5
1,0.45205047269097165,0.6991632414326534,0.4124992577743135,1,1,0.0,0.6388888888888888,0,0,0.5,0,0.0,1.0,1,3,6
1,0.45205047269097165,0.3995218522472306,0.4529403614776776,1,1,0.5,0.6388888888888888,0,0,0.5,0,0.0,0.5,1,0,2
1,0.8036452847839496,0.6192588709832076,0.5904401140691153,1,1,0.0,0.6388888888888888,3,1,0.5,1,0.0,0.0,1,0,3
1,0.45205047269097165,0.6991632414326534,0.1698526355541291,1,0,0.5,0.6388888888888888,3,0,1.0,0,0.0,0.5,2,3,1
0,0.45205047269097165,0.3995218522472306,0.3316170503675854,1,1,0.5,0.6388888888888888,0,0,0.5,0,0.0,1.0,3,3,6
0,0.40182264239197474,0.4394740374719537,0.08897042814740097,1,0,1.0,0.6388888888888888,3,0,1.0,1,0.6666666666666666,0.5,2,3,0
0,0.5022783029899683,0.3995218522472306,0.1698526355541291,1,0,0.5,0.6388888888888888,2,0,1.0,1,0.3333333333333333,0.0,3,3,1
1,0.2511391514949842,0.7990437044944612,0.21029373925749317,1,0,0.5,0.6388888888888888,2,0,1.0,0,0.6666666666666666,0.5,2,1,1
1,0.5022783029899683,0.49940231530903834,0.37205815407094944,1,1,0.5,0.6388888888888888,1,0,1.0,0,0.0,0.5,1,3,6
0,0.45205047269097165,0.3595696670225075,0.0485293244440369,1,0,1.0,0.6388888888888888,2,0,1.0,1,0.6666666666666666,0.0,3,3,0
0,0.5022783029899683,0.29964138918542327,0.0485293244440369,1,0,0.5,0.6388888888888888,3,0,0.5,0,0.3333333333333333,0.0,3,3,0
0,0.5022783029899683,0.49940231530903834,0.3316170503675854,1,1,0.5,0.6388888888888888,2,0,1.0,0,0.0,0.0,3,3,6
0,0.45205047269097165,0.3995218522472306,0.4124992577743135,1,1,0.5,0.6388888888888888,2,0,1.0,0,0.0,0.5,3,3,2
1,0.45205047269097165,0.3995218522472306,0.1698526355541291,1,0,0.5,0.6388888888888888,2,0,0.5,0,0.0,0.0,2,3,1
0,0.2511391514949842,0.3595696670225075,0.15367619407278343,0,0,1.0,0.6388888888888888,2,0,0.5,1,0.0,0.0,3,3,1
1,0.8036452847839496,0.6991632414326534,0.42058747851498635,1,1,0.5,0.6388888888888888,1,0,0.5,0,0.0,0.0,2,3,6
1,0.45205047269097165,0.4394740374719537,0.3761022644412858,1,1,0.5,0.6388888888888888,0,0,0.5,0,0.0,0.5,3,3,2
0,0.2511391514949842,0.29964138918542327,0.0485293244440369,0,0,1.0,0.6388888888888888,3,0,1.0,1,0.6666666666666666,0.0,3,4,0
1,0.5525061332889653,0.49940231530903834,0.35588171258960377,1,1,0.5,0.6388888888888888,1,0,0.5,0,0.0,0.5,2,3,6
1,0.45205047269097165,0.3995218522472306,0.15772030444311985,1,0,0.5,0.6388888888888888,2,0,0.5,0,0.0,0.0,3,3,1
1,0.3515948120929778,0.7990437044944612,0.35588171258960377,1,1,0.5,0.0,1,0,1.0,0,0.3333333333333333,0.0,3,3,1
1,0.2511391514949842,0.7391154266573765,0.388234595552295,1,1,0.5,0.6388888888888888,2,0,0.5,0,0.0,0.0,3,3,5
0,0.40182264239197474,0.3995218522472306,0.21029373925749317,1,1,0.5,0.6388888888888888,1,0,0.5,1,0.3333333333333333,0.0,3,0,1
0,0.7534174544849527,0.49940231530903834,0.3154406088862397,1,1,1.0,0.6388888888888888,2,0,0.0,0,0.6666666666666666,0.5,1,0,6
0,0.5525061332889653,0.3595696670225075,0.4367639199963319,0,0,1.0,1.0,0,0,0.0,0,0.6666666666666666,0.0,3,3,3
0,0.30136698179398114,0.3196174817977848,0.20220551851682034,1,0,1.0,0.6388888888888888,0,0,0.5,1,0.0,0.5,1,3,1
1,1.0,0.6592110562079307,0.3639699333302766,1,0,1.0,1.0,1,0,1.0,1,1.0,0.0,1,4,5
0,0.30136698179398114,0.29964138918542327,0.14558797333211065,0,0,1.0,0.6388888888888888,0,0,0.5,0,0.3333333333333333,0.0,3,4,1
0,0.5022783029899683,0.29964138918542327,0.0727939866660553,0,1,1.0,0.6388888888888888,2,0,0.5,0,0.6666666666666666,0.0,3,3,1
1,0.6027339635879622,0.49940231530903834,0.25073484296085724,1,0,1.0,0.0,1,0,0.5,0,0.6666666666666666,0.0,1,3,1
0,0.45205047269097165,0.41949794485959213,0.1698526355541291,1,0,0.5,0.6388888888888888,2,0,0.5,0,1.0,0.0,2,3,1
0,0.3515948120929778,0.13983264828653086,0.02426466222201845,0,0,1.0,0.0,1,0,0.0,0,0.0,0.0,2,3,0
1,0.45205047269097165,0.5393545005337614,0.25073484296085724,0,0,0.5,0.6388888888888888,2,0,0.5,0,1.0,0.5,1,3,1
0,0.3515948120929778,0.4794262226966768,0.1941172977761475,0,1,1.0,0.0,2,0,0.0,0,0.0,0.0,2,3,1
1,0.40182264239197474,0.49940231530903834,0.2216172482944352,1,0,0.5,0.6388888888888888,1,0,0.5,0,0.0,0.0,3,3,1
0,0.3515948120929778,0.1997609261236155,0.14558797333211065,0,1,0.5,1.0,1,0,0.5,1,0.6666666666666666,0.0,2,0,1
0,0.40182264239197474,0.3995218522472306,0.15367619407278343,1,1,1.0,1.0,1,0,0.5,0,0.3333333333333333,0.0,2,3,1
0,1.0,0.21973701873597706,0.3316170503675854,1,1,0.5,0.6388888888888888,2,0,0.5,0,0.0,0.0,2,0,2
0,0.5525061332889653,0.23971311134833861,0.12941153185076504,0,1,0.5,0.0,2,0,0.5,0,0.6666666666666666,0.0,2,3,1
1,0.40182264239197474,0.8589719823315454,0.4124992577743135,1,1,0.5,0.6388888888888888,0,0,0.0,0,0.0,0.5,2,0,5
1,0.40182264239197474,0.5992827783708461,0.4529403614776776,1,0,0.5,0.6388888888888888,2,0,1.0,0,1.0,1.0,3,4,2
0,0.3515948120929778,0.3995218522472306,0.39632281629296784,1,1,1.0,0.0,2,0,1.0,0,0.6666666666666666,0.5,3,3,2
1,0.3515948120929778,0.5992827783708461,0.2911759466642213,1,1,1.0,0.6388888888888888,2,0,0.5,0,0.0,0.5,2,3,1
0,0.40182264239197474,0.25968920396070017,0.15367619407278343,1,1,0.5,0.0,2,0,0.0,0,0.0,0.0,3,3,1
0,0.20091132119598742,0.21973701873597706,0.09705864888807375,1,1,0.5,1.0,1,0,0.5,0,0.3333333333333333,0.0,2,3,1
0,0.40182264239197474,0.09988046306180776,0.08088220740672813,1,0,0.5,0.0,2,0,0.5,0,1.0,0.0,3,4,1
0,0.2511391514949842,0.3196174817977848,0.18602907703547467,1,1,1.0,0.0,1,0,0.5,0,0.3333333333333333,0.0,1,3,1
0,0.1506834908969905,0.5992827783708461,0.14558797333211065,1,1,1.0,0.6388888888888888,1,0,0.5,0,0.0,0.5,3,3,1
0,0.05022783029899691,0.3995218522472306,0.3801463748116223,1,1,1.0,0.6388888888888888,2,0,0.0,0,1.0,1.0,3,4,2
0,0.1506834908969905,0.49940231530903834,0.37205815407094944,1,0,0.5,0.6388888888888888,1,0,0.5,0,0.3333333333333333,0.5,3,3,6
1,0.45205047269097165,0.33959357441014637,0.11323509036941937,1,1,0.5,0.6388888888888888,2,0,0.5,0,0.3333333333333333,0.5,2,3,1
0,0.2511391514949842,0.3595696670225075,0.29926416740489414,1,0,1.0,0.6388888888888888,1,1,1.0,0,0.6666666666666666,0.5,2,0,6
0,0.45205047269097165,0.4394740374719537,0.2911759466642213,1,1,0.5,0.6388888888888888,1,1,0.5,0,0.0,1.0,3,4,5
1,0.45205047269097165,0.8389958897191843,0.4529403614776776,1,1,0.0,0.6388888888888888,1,0,0.5,0,0.0,1.0,1,3,6
1,0.3515948120929778,0.5992827783708461,0.08897042814740097,1,0,1.0,1.0,1,0,0.0,0,0.3333333333333333,0.0,3,4,0
1,0.5022783029899683,0.41949794485959213,0.22647018073883873,1,1,1.0,0.0,2,0,0.5,0,0.3333333333333333,0.0,3,3,1
1,0.45205047269097165,0.6192588709832076,0.4124992577743135,0,1,1.0,0.6388888888888888,2,0,0.0,0,0.0,0.0,3,3,6
1,0.20091132119598742,0.5992827783708461,0.3316170503675854,1,1,0.5,0.6388888888888888,0,0,0.5,0,0.0,0.0,1,3,5
